REG_ANS;CNPJ;RazaoSocial;Ano;Trimestre;ValorDespesas
334847;;;2025;3;4888.74
334847;;;2025;3;6270.95
334847;;;2025;3;10043.79
334847;;;2025;3;9658.44
334847;;;2025;3;20580.12
334847;;;2025;3;1805.82
334847;;;2025;3;2006.56
334847;;;2025;3;261119.79
334847;;;2025;3;9996.04
334847;;;2025;3;2047439.74
334847;;;2025;3;131702.57
334847;;;2025;3;175343.42
335541;;;2025;3;521532.52
335541;;;2025;3;9306678.99
335541;;;2025;3;873352.65
335541;;;2025;3;8392.1
335541;;;2025;3;536404.76
335541;;;2025;3;232927.61
335541;;;2025;3;2946131.25
335541;;;2025;3;2212.13
335541;;;2025;3;1140085.2
335541;;;2025;3;1709921.88
335541;;;2025;3;2344359.88
335541;;;2025;3;517.05
335541;;;2025;3;23120063.91
335541;;;2025;3;1034747.26
335541;;;2025;3;28078.81
335541;;;2025;3;3470.33
335541;;;2025;3;7682.88
335541;;;2025;3;19222.94
335541;;;2025;3;169851.78
335541;;;2025;3;57933.71
335541;;;2025;3;1684.69
335541;;;2025;3;12516.59
335541;;;2025;3;6878.77
335541;;;2025;3;398028.9
337188;;;2025;3;36443.21
337188;;;2025;3;2014720.37
337188;;;2025;3;9056798.18
337188;;;2025;3;16698.31
337188;;;2025;3;1644682.2
337188;;;2025;3;11967244.93
337188;;;2025;3;603788.05
337188;;;2025;3;1128436.27
337188;;;2025;3;47354.0
337188;;;2025;3;2209.53
337188;;;2025;3;638213.18
337188;;;2025;3;1321.06
337188;;;2025;3;664960.68
337188;;;2025;3;1903200.44
337188;;;2025;3;212744.24
337188;;;2025;3;2760.08
337188;;;2025;3;6930791.96
337188;;;2025;3;6713.86
337188;;;2025;3;1249.56
337188;;;2025;3;3162.4
337188;;;2025;3;15168.11
337188;;;2025;3;184900.28
337188;;;2025;3;968991.5
337188;;;2025;3;135228.45
337188;;;2025;3;929688.48
337188;;;2025;3;86310.95
337188;;;2025;3;2864.29
337188;;;2025;3;5751980.6
337188;;;2025;3;1380.68
337188;;;2025;3;91723.23
337188;;;2025;3;679150.58
337188;;;2025;3;2130420.59
337188;;;2025;3;3729124.94
337188;;;2025;3;1361922.19
337188;;;2025;3;18130.1
337188;;;2025;3;34989858.98
337188;;;2025;3;519053.49
337188;;;2025;3;739313.59
337188;;;2025;3;715.0
337188;;;2025;3;179737.84
337188;;;2025;3;4084.7
337188;;;2025;3;6928389.24
337188;;;2025;3;5946787.55
337188;;;2025;3;1630916.36
337188;;;2025;3;17113.09
337188;;;2025;3;45004.11
337188;;;2025;3;101279.88
337188;;;2025;3;177211.07
337188;;;2025;3;10378.24
342084;;;2025;3;206006.56
342084;;;2025;3;33033672.92
342084;;;2025;3;354861.53
342084;;;2025;3;63205815.17
342084;;;2025;3;198227.46
342084;;;2025;3;42618674.6
342084;;;2025;3;1065.94
342084;;;2025;3;130305.67
342084;;;2025;3;123.65
342084;;;2025;3;193932.82
342084;;;2025;3;264.88
342084;;;2025;3;279113.6
342084;;;2025;3;304649.89
342084;;;2025;3;7641335.61
342084;;;2025;3;13328.01
342084;;;2025;3;10599577.02
342084;;;2025;3;15132.96
342084;;;2025;3;14615514.54
342084;;;2025;3;30341.32
342084;;;2025;3;1469669.05
342084;;;2025;3;890.06
342084;;;2025;3;1927227.19
342084;;;2025;3;2871.85
342084;;;2025;3;3231282.6
342084;;;2025;3;510.94
